horizon	z	c	i	y	k	l	r	w	case
37	0.571663584864806	0.918540647503449	1.0324011778691	0.945572284208964	1.09313712924051	0.0135158183527577	-0.149122177117992	0.932056465856206	phi_0
38	0.563088631091833	0.913034411872276	1.00422638731146	0.934684305321867	1.09091436069228	0.0108249467247954	-0.158452823918643	0.923859358597071	phi_0
39	0.554642301625456	0.907227428261432	0.97706225142848	0.923806918653609	1.08806805796069	0.00828974519608838	-0.167107442038675	0.91551717345752	phi_0
40	0.546322667101074	0.9011419729962	0.950866359333595	0.912947043133855	1.08463801549501	0.00590253506882754	-0.175121014826834	0.907044508065027	phi_0
0	1	0.812244782550782	1.99851395209239	1.09387703143476	0.0499628488023098	0.140816124441989	1.09387703143476	0.953060906992771	phi_10
1	0.985	0.821496121448495	1.95976592743117	1.09173283797675	0.0977079257680312	0.13511835826413	1.04176998917444	0.956614479712625	phi_10
2	0.970225	0.829978749201981	1.92185686883766	1.08920161213707	0.143311649344772	0.129611431467544	0.991493686369037	0.959590180669525	phi_10
3	0.955671625	0.837722709449857	1.88476661708244	1.08630147888781	0.186848023538213	0.124289384718975	0.942989829543035	0.962012094168832	phi_10
4	0.941336550625	0.844757051109211	1.84847553793411	1.08304992927627	0.228388711398111	0.119146439083531	0.89620190573806	0.963903490192742	phi_10
5	0.927216502365625	0.851109859285692	1.81296450774219	1.07946384057392	0.268003106306713	0.114176990644117	0.851075129175814	0.965286849929808	phi_10
6	0.913308254830141	0.856808285250047	1.7782148994285	1.0755594958104	0.305758401134758	0.109375605280176	0.807556389503686	0.966183890530223	phi_10
7	0.899608631007689	0.861878575508926	1.74420856887533	1.07135260271102	0.341719655328272	0.104737013601048	0.765594201576263	0.966615589109973	phi_10
8	0.886114501542573	0.866346099996932	1.71092784169889	1.06685831205567	0.375949859987537	0.100256106029368	0.725138656727397	0.9666022060263	phi_10
9	0.872822784019435	0.870235379416122	1.67835550039695	1.06209123547632	0.408510000997773	0.0959279280300978	0.686141375488781	0.96616330744622	phi_10
10	0.859730442259143	0.873570111748361	1.64647477185996	1.05706546271011	0.439459120269327	0.0917476754808734	0.648555461712335	0.965317787229234	phi_10
11	0.846834485625256	0.876373197965198	1.61526931523506	1.05179457832423	0.468854375143471	0.0877106901795155	0.612335458054902	0.964083888144714	phi_10
12	0.834131968340877	0.878666766959205	1.58472321013291	1.0462916779285	0.496751096018207	0.0838124554846482	0.57743730278503	0.962479222443853	phi_10
13	0.821619988815764	0.880472199719987	1.55482094516749	1.04056938389098	0.523202842246939	0.0800485920854945	0.543818287872769	0.960520791805481	phi_10
14	0.809295688983527	0.881810152777418	1.52554740681919	1.03463986057151	0.548261456361245	0.0764148538970444	0.511437018324568	0.958225006674462	phi_10
